response_scenario,case,language,profile,request_index,stage,o200k_input_content,estimated_overhead,o200k_input,o200k_output,cl100k_input,cl100k_output
authored_short,1,fa,short,1,patient,1218,11,1229,12,2317,25
authored_short,1,fa,short,2,patient,1236,19,1255,9,2368,15
authored_short,1,fa,short,3,patient,1250,27,1277,11,2402,29
authored_short,1,fa,short,4,patient,1267,35,1302,11,2448,29
authored_short,1,fa,short,5,patient,1286,43,1329,14,2502,24
authored_short,1,fa,short,6,patient,1307,51,1358,14,2552,24
authored_short,1,fa,short,7,patient,1325,59,1384,8,2593,16
authored_short,1,fa,short,8,patient,1310,59,1369,10,2555,20
authored_short,1,fa,short,9,patient,1312,59,1371,9,2559,13
authored_short,1,fa,short,10,patient,1312,59,1371,9,2547,13
authored_short,1,fa,short,11,exam,602,59,661,38,1259,46
authored_short,1,fa,short,12,exam,658,59,717,42,1334,82
authored_short,1,fa,short,13,scoring,2173,11,2184,314,2942,566
authored_short,1,fa,short,14,lesson,1908,11,1919,1546,3081,3007
authored_short,1,fa,standard,1,patient,1218,11,1229,12,2317,25
authored_short,1,fa,standard,2,patient,1236,19,1255,9,2368,15
authored_short,1,fa,standard,3,patient,1250,27,1277,11,2402,29
authored_short,1,fa,standard,4,patient,1267,35,1302,11,2448,29
authored_short,1,fa,standard,5,patient,1286,43,1329,14,2502,24
authored_short,1,fa,standard,6,patient,1307,51,1358,14,2552,24
authored_short,1,fa,standard,7,patient,1325,59,1384,8,2593,16
authored_short,1,fa,standard,8,patient,1310,59,1369,10,2555,20
authored_short,1,fa,standard,9,patient,1312,59,1371,9,2559,13
authored_short,1,fa,standard,10,patient,1312,59,1371,9,2547,13
authored_short,1,fa,standard,11,patient,1312,59,1371,13,2547,26
authored_short,1,fa,standard,12,patient,1310,59,1369,18,2544,39
authored_short,1,fa,standard,13,patient,1313,59,1372,8,2553,16
authored_short,1,fa,standard,14,patient,1314,59,1373,8,2556,16
authored_short,1,fa,standard,15,patient,1314,59,1373,20,2553,39
authored_short,1,fa,standard,16,patient,1325,59,1384,20,2576,39
authored_short,1,fa,standard,17,patient,1337,59,1396,18,2606,39
authored_short,1,fa,standard,18,patient,1341,59,1400,8,2610,16
authored_short,1,fa,standard,19,patient,1329,59,1388,18,2590,39
authored_short,1,fa,standard,20,patient,1345,59,1404,20,2630,39
authored_short,1,fa,standard,21,exam,650,59,709,38,1378,46
authored_short,1,fa,standard,22,exam,698,59,757,42,1436,82
authored_short,1,fa,standard,23,exam,684,59,743,26,1411,53
authored_short,1,fa,standard,24,unrecorded_lab,92,11,103,24,219,55
authored_short,1,fa,standard,25,unrecorded_lab,91,11,102,24,219,55
authored_short,1,fa,standard,26,scoring,2539,11,2550,314,3599,566
authored_short,1,fa,standard,27,lesson,2250,11,2261,1546,3726,3007
authored_short,1,fa,long,1,patient,1218,11,1229,12,2317,25
authored_short,1,fa,long,2,patient,1236,19,1255,9,2368,15
authored_short,1,fa,long,3,patient,1250,27,1277,11,2402,29
authored_short,1,fa,long,4,patient,1267,35,1302,11,2448,29
authored_short,1,fa,long,5,patient,1286,43,1329,14,2502,24
authored_short,1,fa,long,6,patient,1307,51,1358,14,2552,24
authored_short,1,fa,long,7,patient,1325,59,1384,8,2593,16
authored_short,1,fa,long,8,patient,1310,59,1369,10,2555,20
authored_short,1,fa,long,9,patient,1312,59,1371,9,2559,13
authored_short,1,fa,long,10,patient,1312,59,1371,9,2547,13
authored_short,1,fa,long,11,patient,1312,59,1371,13,2547,26
authored_short,1,fa,long,12,patient,1310,59,1369,18,2544,39
authored_short,1,fa,long,13,patient,1313,59,1372,8,2553,16
authored_short,1,fa,long,14,patient,1314,59,1373,8,2556,16
authored_short,1,fa,long,15,patient,1314,59,1373,20,2553,39
authored_short,1,fa,long,16,patient,1325,59,1384,20,2576,39
authored_short,1,fa,long,17,patient,1337,59,1396,18,2606,39
authored_short,1,fa,long,18,patient,1341,59,1400,8,2610,16
authored_short,1,fa,long,19,patient,1329,59,1388,18,2590,39
authored_short,1,fa,long,20,patient,1345,59,1404,20,2630,39
authored_short,1,fa,long,21,patient,1359,59,1418,20,2656,39
authored_short,1,fa,long,22,patient,1358,59,1417,20,2658,39
authored_short,1,fa,long,23,patient,1359,59,1418,14,2661,24
authored_short,1,fa,long,24,patient,1357,59,1416,9,2653,13
authored_short,1,fa,long,25,patient,1360,59,1419,20,2655,39
authored_short,1,fa,long,26,patient,1366,59,1425,13,2663,26
authored_short,1,fa,long,27,patient,1352,59,1411,18,2634,39
authored_short,1,fa,long,28,patient,1350,59,1409,18,2634,39
authored_short,1,fa,long,29,patient,1345,59,1404,20,2628,39
authored_short,1,fa,long,30,patient,1350,59,1409,20,2640,39
authored_short,1,fa,long,31,patient,1361,59,1420,8,2663,16
authored_short,1,fa,long,32,patient,1351,59,1410,9,2642,13
authored_short,1,fa,long,33,patient,1349,59,1408,20,2626,39
authored_short,1,fa,long,34,patient,1355,59,1414,14,2630,24
authored_short,1,fa,long,35,patient,1352,59,1411,20,2620,39
authored_short,1,fa,long,36,patient,1358,59,1417,20,2632,39
authored_short,1,fa,long,37,patient,1365,59,1424,10,2647,20
authored_short,1,fa,long,38,patient,1373,59,1432,9,2657,13
authored_short,1,fa,long,39,patient,1375,59,1434,20,2661,39
authored_short,1,fa,long,40,patient,1373,59,1432,7,2657,11
authored_short,1,fa,long,41,exam,655,59,714,38,1364,46
authored_short,1,fa,long,42,exam,705,59,764,42,1421,82
authored_short,1,fa,long,43,exam,686,59,745,26,1383,53
authored_short,1,fa,long,44,exam,722,59,781,37,1453,81
authored_short,1,fa,long,45,exam,1281,43,1324,20,2460,39
authored_short,1,fa,long,46,unrecorded_lab,92,11,103,24,219,55
authored_short,1,fa,long,47,unrecorded_lab,91,11,102,24,219,55
authored_short,1,fa,long,48,unrecorded_lab,92,11,103,24,219,55
authored_short,1,fa,long,49,unrecorded_lab,92,11,103,24,219,55
authored_short,1,fa,long,50,scoring,3315,11,3326,314,4966,566
authored_short,1,fa,long,51,lesson,2969,11,2980,1546,5067,3007
authored_short,1,en,short,1,patient,818,11,829,14,942,15
authored_short,1,en,short,2,patient,838,19,857,4,971,4
authored_short,1,en,short,3,patient,847,27,874,9,988,10
authored_short,1,en,short,4,patient,861,35,896,9,1011,10
authored_short,1,en,short,5,patient,877,43,920,7,1036,7
authored_short,1,en,short,6,patient,891,51,942,2,1058,2
authored_short,1,en,short,7,patient,898,59,957,4,1073,4
authored_short,1,en,short,8,patient,882,59,941,7,1056,9
authored_short,1,en,short,9,patient,884,59,943,5,1060,7
authored_short,1,en,short,10,patient,881,59,940,5,1058,7
authored_short,1,en,short,11,exam,404,59,463,33,470,34
authored_short,1,en,short,12,exam,448,59,507,26,515,27
authored_short,1,en,short,13,scoring,1930,11,1941,248,2123,247
authored_short,1,en,short,14,lesson,1444,11,1455,961,1464,970
authored_short,1,en,standard,1,patient,818,11,829,14,942,15
authored_short,1,en,standard,2,patient,838,19,857,4,971,4
authored_short,1,en,standard,3,patient,847,27,874,9,988,10
authored_short,1,en,standard,4,patient,861,35,896,9,1011,10
authored_short,1,en,standard,5,patient,877,43,920,7,1036,7
authored_short,1,en,standard,6,patient,891,51,942,2,1058,2
authored_short,1,en,standard,7,patient,898,59,957,4,1073,4
authored_short,1,en,standard,8,patient,882,59,941,7,1056,9
authored_short,1,en,standard,9,patient,884,59,943,5,1060,7
authored_short,1,en,standard,10,patient,881,59,940,5,1058,7
authored_short,1,en,standard,11,patient,877,59,936,7,1055,7
authored_short,1,en,standard,12,patient,874,59,933,15,1052,15
authored_short,1,en,standard,13,patient,888,59,947,4,1066,4
authored_short,1,en,standard,14,patient,888,59,947,4,1066,4
authored_short,1,en,standard,15,patient,883,59,942,14,1059,15
authored_short,1,en,standard,16,patient,893,59,952,14,1068,15
authored_short,1,en,standard,17,patient,901,59,960,15,1075,15
authored_short,1,en,standard,18,patient,909,59,968,4,1083,4
authored_short,1,en,standard,19,patient,898,59,957,15,1072,15
authored_short,1,en,standard,20,patient,907,59,966,14,1081,15
authored_short,1,en,standard,21,exam,444,59,503,33,507,34
authored_short,1,en,standard,22,exam,482,59,541,26,545,27
authored_short,1,en,standard,23,exam,472,59,531,13,535,14
authored_short,1,en,standard,24,unrecorded_lab,60,11,71,13,71,13
authored_short,1,en,standard,25,unrecorded_lab,59,11,70,13,71,13
authored_short,1,en,standard,26,scoring,2208,11,2219,248,2404,247
authored_short,1,en,standard,27,lesson,1711,11,1722,961,1733,970
authored_short,1,en,long,1,patient,818,11,829,14,942,15
authored_short,1,en,long,2,patient,838,19,857,4,971,4
authored_short,1,en,long,3,patient,847,27,874,9,988,10
authored_short,1,en,long,4,patient,861,35,896,9,1011,10
authored_short,1,en,long,5,patient,877,43,920,7,1036,7
authored_short,1,en,long,6,patient,891,51,942,2,1058,2
authored_short,1,en,long,7,patient,898,59,957,4,1073,4
authored_short,1,en,long,8,patient,882,59,941,7,1056,9
authored_short,1,en,long,9,patient,884,59,943,5,1060,7
authored_short,1,en,long,10,patient,881,59,940,5,1058,7
authored_short,1,en,long,11,patient,877,59,936,7,1055,7
